title,tags,cluster
Avatar,"['In', '22nd', 'century,', 'paraplegic', 'Marine', 'dispatched', 'moon', 'Pandora', 'unique', 'mission,', 'becomes', 'torn', 'following', 'orders', 'protecting', 'alien', 'civilization.', 'Action', 'Adventure', 'Fantasy', 'ScienceFiction', 'cultureclash', 'future', 'spacewar', 'spacecolony', 'society', 'spacetravel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alienplanet', 'cgi', 'marine', 'soldier', 'battle', 'loveaffair', 'antiwar', 'powerrelations', 'mindandsoul', '3d', 'JamesCameron', 'JamesCameron', 'JonLandau', 'SamWorthington', 'ZoeSaldana', 'SigourneyWeaver']",0
Pirates of the Caribbean: At World's End,"['Captain', 'Barbossa,', 'long', 'believed', 'dead,', 'come', 'back', 'life', 'headed', 'edge', 'Earth', 'Will', 'Turner', 'Elizabeth', 'Swann.', 'But', 'nothing', 'quite', 'seems.', 'Adventure', 'Fantasy', 'Action', 'ocean', 'drugabuse', 'exoticisland', 'eastindiatradingcompany', ""loveofone'slife"", 'traitor', 'shipwreck', 'strongwoman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger', 'GoreVerbinski', 'JerryBruckheimer', 'EricMcLeod', 'ChadOman', 'PeterKohn', 'PatSandston', 'JohnnyDepp', 'OrlandoBloom', 'KeiraKnightley']",0
Spectre,"['A', 'cryptic', 'message', 'Bond’s', 'past', 'sends', 'trail', 'uncover', 'sinister', 'organization.', 'While', 'M', 'battles', 'political', 'forces', 'keep', 'secret', 'service', 'alive,', 'Bond', 'peels', 'back', 'layers', 'deceit', 'reveal', 'terrible', 'truth', 'behind', 'SPECTRE.', 'Action', 'Adventure', 'Crime', 'spy', 'basedonnovel', 'secretagent', 'sequel', 'mi6', 'britishsecretservice', 'unitedkingdom', 'SamMendes', 'BarbaraBroccoli', 'MichaelG.Wilson', 'DanielCraig', 'ChristophWaltz', 'LéaSeydoux']",0
The Dark Knight Rises,"['Following', 'death', 'District', 'Attorney', 'Harvey', 'Dent,', 'Batman', 'assumes', 'responsibility', ""Dent's"", 'crimes', 'protect', 'late', ""attorney's"", 'reputation', 'subsequently', 'hunted', 'Gotham', 'City', 'Police', 'Department.', 'Eight', 'years', 'later,', 'Batman', 'encounters', 'mysterious', 'Selina', 'Kyle', 'villainous', 'Bane,', 'new', 'terrorist', 'leader', 'overwhelms', ""Gotham's"", 'finest.', 'The', 'Dark', 'Knight', 'resurfaces', 'protect', 'city', 'branded', 'enemy.', 'Action', 'Crime', 'Drama', 'Thriller', 'dccomics', 'crimefighter', 'terrorist', 'secretidentity', 'burglar', 'hostagedrama', 'timebomb', 'gothamcity', 'vigilante', 'cover-up', 'superhero', 'villainess', 'tragichero', 'terrorism', 'destruction', 'catwoman', 'catburglar', 'imax', 'flood', 'criminalunderworld', 'batman', 'CharlesRoven', 'ChristopherNolan', 'ChristopherNolan', 'EmmaThomas', 'ChristianBale', 'MichaelCaine', 'GaryOldman']",0
John Carter,"['John', 'Carter', 'war-weary,', 'former', 'military', 'captain', ""who's"", 'inexplicably', 'transported', 'mysterious', 'exotic', 'planet', 'Barsoom', '(Mars)', 'reluctantly', 'becomes', 'embroiled', 'epic', 'conflict.', ""It's"", 'world', 'brink', 'collapse,', 'Carter', 'rediscovers', 'humanity', 'realizes', 'survival', 'Barsoom', 'people', 'rests', 'hands.', 'Action', 'Adventure', 'ScienceFiction', 'basedonnovel', 'mars', 'medallion', 'spacetravel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgarriceburroughs', 'alienrace', 'superhumanstrength', 'marscivilization', 'swordandplanet', '19thcentury', '3d', 'AndrewStanton', 'ColinWilson', 'JimMorris', 'LindseyCollins', 'TaylorKitsch', 'LynnCollins', 'SamanthaMorton']",0
Spider-Man 3,"['The', 'seemingly', 'invincible', 'Spider-Man', 'goes', 'all-new', 'crop', 'villain', '–', 'including', 'shape-shifting', 'Sandman.', 'While', 'Spider-Man’s', 'superpowers', 'altered', 'alien', 'organism,', 'alter', 'ego,', 'Peter', 'Parker,', 'deals', 'nemesis', 'Eddie', 'Brock', 'also', 'gets', 'caught', 'love', 'triangle.', 'Fantasy', 'Action', 'Adventure', 'dualidentity', 'amnesia', 'sandstorm', ""loveofone'slife"", 'forgiveness', 'spider', 'wretch', 'deathofafriend', 'egomania', 'sand', 'narcism', 'hostility', 'marvelcomic', 'sequel', 'superhero', 'revenge', 'SamRaimi', 'LauraZiskin', 'AviArad', 'GrantCurtis', 'TobeyMaguire', 'KirstenDunst', 'JamesFranco']",0
Tangled,"['When', ""kingdom's"", 'wanted-and', 'charming-bandit', 'Flynn', 'Rider', 'hides', 'mysterious', 'tower,', 'taken', 'hostage', 'Rapunzel,', 'beautiful', 'feisty', 'tower-bound', 'teen', '70', 'feet', 'magical,', 'golden', 'hair.', ""Flynn's"", 'curious', 'captor,', ""who's"", 'looking', 'ticket', 'tower', 'locked', 'away', 'years,', 'strikes', 'deal', 'handsome', 'thief', 'unlikely', 'duo', 'sets', 'action-packed', 'escapade,', 'complete', 'super-cop', 'horse,', 'over-protective', 'chameleon', 'gruff', 'gang', 'pub', 'thugs.', 'Animation', 'Family', 'hostage', 'magic', 'horse', 'fairytale', 'musical', 'princess', 'animation', 'tower', 'blondewoman', 'selfishness', 'healingpower', 'basedonfairytale', 'duringcreditsstinger', 'healinggift', 'animalsidekick', 'RoyConli', 'ByronHoward', 'NathanGreno', 'ZacharyLevi', 'MandyMoore', 'DonnaMurphy']",0
Avengers: Age of Ultron,"['When', 'Tony', 'Stark', 'tries', 'jumpstart', 'dormant', 'peacekeeping', 'program,', 'things', 'go', 'awry', 'Earth’s', 'Mightiest', 'Heroes', 'put', 'ultimate', 'test', 'fate', 'planet', 'hangs', 'balance.', 'As', 'villainous', 'Ultron', 'emerges,', 'The', 'Avengers', 'stop', 'enacting', 'terrible', 'plans,', 'soon', 'uneasy', 'alliances', 'unexpected', 'action', 'pave', 'way', 'epic', 'unique', 'global', 'adventure.', 'Action', 'Adventure', 'ScienceFiction', 'marvelcomic', 'sequel', 'superhero', 'basedoncomicbook', 'vision', 'superheroteam', 'duringcreditsstinger', 'marvelcinematicuniverse', '3d', 'KevinFeige', 'JossWhedon', 'RobertDowneyJr.', 'ChrisHemsworth', 'MarkRuffalo']",0
Harry Potter and the Half-Blood Prince,"['As', 'Harry', 'begins', 'sixth', 'year', 'Hogwarts,', 'discovers', 'old', 'book', 'marked', ""'Property"", 'Half-Blood', ""Prince',"", 'begins', 'learn', 'Lord', ""Voldemort's"", 'dark', 'past.', 'Adventure', 'Fantasy', 'Family', 'witch', 'magic', 'broom', 'schoolofwitchcraft', 'wizardry', 'apparition', 'teenagecrush', 'werewolf', 'DavidHeyman', 'DavidYates', 'DavidBarron', 'TimLewis', 'DanielRadcliffe', 'RupertGrint', 'EmmaWatson']",0
Batman v Superman: Dawn of Justice,"['Fearing', 'actions', 'god-like', 'Super', 'Hero', 'left', 'unchecked,', 'Gotham', 'City’s', 'formidable,', 'forceful', 'vigilante', 'takes', 'Metropolis’s', 'revered,', 'modern-day', 'savior,', 'world', 'wrestles', 'sort', 'hero', 'really', 'needs.', 'And', 'Batman', 'Superman', 'war', 'one', 'another,', 'new', 'threat', 'quickly', 'arises,', 'putting', 'mankind', 'greater', 'danger', 'it’s', 'ever', 'known', 'before.', 'Action', 'Adventure', 'Fantasy', 'dccomics', 'vigilante', 'superhero', 'basedoncomicbook', 'revenge', 'superpowers', 'clarkkent', 'brucewayne', 'dcextendeduniverse', 'CharlesRoven', 'ZackSnyder', 'DeborahSnyder', 'BenAffleck', 'HenryCavill', 'GalGadot']",0
